[0.00 - 5.74]  Applause
[2462.12 - 2469.08]  And the war caused by the attack on Israel, which would have never happened if I was president.
[2469.08 - 2470.08]  Iran was broke.
[2470.08 - 2471.48]  Iran had no money.
[2471.48 - 2474.28]  Now Iran has $250 billion.
[2474.28 - 2477.64]  They made it all over the last two and a half years.
[2477.64 - 2478.96]  They were broke.
[2478.96 - 2482.28]  I watched the other day on a show called DeFaced the Nation.
[2482.28 - 2484.60]  Has anyone seen it?
[2484.60 - 2489.08]  They had a congressman who was a Democrat, say, well, whether you like them or not, Iran
[2489.08 - 2490.68]  was broke, dealing with Trump.
[2490.68 - 2496.76]  I told China and other countries, if you buy from Iran, we will not let you do any business
[2496.76 - 2497.76]  in this country.
[2497.76 - 2505.48]  And we will put tariffs on every product you do send in of 100 percent a month.
[2505.48 - 2507.72]  And they said to me, well, I think that's about it.
[2507.72 - 2509.88]  They weren't going to buy any oil.
[2509.88 - 2511.36]  And they were ready to make a deal.
[2511.36 - 2513.00]  Iran was going to make a deal with us.
[2513.00 - 2518.16]  And then we had that horrible, horrible result that will never let happen again.
[2518.16 - 2521.16]  The election result will never let that happen again.
[2521.16 - 2522.56]  They used COVID to cheat.
[2522.56 - 2526.08]  You're never going to let it happen again.
[2526.08 - 2531.52]  And they took off all the sanctions and they did everything possible for Iran.
[2531.52 - 2536.28]  And now Iran is very close to having a nuclear weapon, which would have never happened.
[2536.28 - 2537.96]  This is a shame.
[2537.96 - 2541.52]  What this administration did damage at this administration has done.
[2541.52 - 2546.64]  And I say it often, if you took the 10 worst presidents in the history of the United States,
[2546.64 - 2547.64]  think of it.
[2547.64 - 2549.24]  The 10 worst added them up.
[2549.24 - 2555.60]  They will not have done the damage that Biden has done, only going to use the term once.
[2555.60 - 2559.52]  Biden, I'm not going to use the name anymore, just one time.
[2559.52 - 2562.68]  The damage that he's done to this country is unthinkable.
[2562.68 - 2565.04]  It's unthinkable.
[2565.04 - 2571.74]  Together we will restore vision, strength, competence, and we're going to have a thing called
[2571.74 - 2574.64]  common sense making most of our decisions, actually.
[2574.64 - 2580.04]  It's all common sense.
[2580.04 - 2586.76]  Just a few short years ago, under my presidency, we had the most secure border in best economy.
[2586.76 - 2591.28]  In the history of our country, in the history of the world, we had the greatest economy.
[2591.28 - 2595.72]  In the history of the world, we had never done anything like it.
[2595.72 - 2599.64]  We were beating every country, including China by leaps and bounds.
[2599.64 - 2601.68]  Nobody had seen anything like it.
[2601.68 - 2606.00]  We had no inflation, soaring incomes were going.
[2606.00 - 2608.24]  Nobody's, nobody can believe it.
[2608.24 - 2615.08]  You can't believe what happened four years ago is happening now in reverse.
[2615.08 - 2617.56]  And the world was at peace.
[2617.56 - 2619.16]  Inflation has been a killer for our country.
[2619.16 - 2623.12]  No matter what you make it, it doesn't matter because inflation is eating you alive, people
[2623.12 - 2628.56]  that were putting away money, they were making great wages, the highest they've ever made,
[2628.56 - 2630.08]  but they were putting away a lot of money.
[2630.08 - 2632.72]  Now they are just being destroyed.
[2632.72 - 2634.20]  They're not putting away anything.
[2634.20 - 2635.20]  They're barely living.
[2635.20 - 2640.04]  They're going into savings accounts that take in out their money to live because of inflation.
[2640.04 - 2643.00]  Inflation, remember, it's called a country, Buster.
[2643.00 - 2646.84]  You can go back to Germany from a hundred years ago.
[2646.84 - 2650.68]  You can go back to any country that suffered great inflation.
[2650.68 - 2653.64]  We've suffered the worst inflation we've ever had.
[2653.64 - 2656.24]  But go back and see what's happened to those countries.
[2656.24 - 2661.36]  We've had the worst inflation we've ever had under this person.
[2661.36 - 2668.04]  But in less than four years, our opponents have turned incredible success into unparalleled
[2668.04 - 2669.28]  tragedy and failure.
[2669.28 - 2672.08]  It's been a tremendous failure.
[2672.08 - 2675.60]  Today our cities are flooded with illegal aliens.
[2675.60 - 2680.16]  Those are being squeezed out of the labor force and their jobs are taken.
[2680.16 - 2684.16]  By the way, you know who's taking the jobs, the jobs that are created.
[2684.16 - 2689.44]  107 percent of those jobs are taken by illegal aliens.
[2689.44 - 2695.14]  And you know who's being hurt the most by millions of people pouring into our country, the
[2695.14 - 2702.18]  black population and the Hispanic population because they're taking the jobs from our black
[2702.18 - 2706.10]  population, our Hispanic population.
[2706.10 - 2709.22]  And they're also taking them from unions.
[2709.22 - 2712.18]  The unions are suffering because of it.
[2712.18 - 2713.58]  Thank you.
[2713.58 - 2714.58]  Thank you.
[2714.58 - 2717.22]  I like you too.
[2717.22 - 2719.82]  Thank you very much.
[2719.82 - 2724.06]  Inflation is wiped out the life savings of our citizens and forced the middle class into
[2724.06 - 2727.02]  a state of depression and despair.
[2727.02 - 2728.02]  That's what it is.
[2728.02 - 2730.02]  It's despair and depression.
[2730.02 - 2732.82]  We cannot and will not let this continue.
[2732.82 - 2739.94]  Less than four years ago, we were a great nation and we will soon be a great nation again.
[2739.94 - 2745.14]  We're going to be a great nation again.
[2745.14 - 2751.38]  Thank you.
[2751.38 - 2756.42]  With proper leadership, every disaster we are now enduring will be fixed and it will
[2756.42 - 2758.78]  be fixed very, very quickly.
[2758.78 - 2764.14]  So tonight, whether you've supported me in the past or not, I hope you will support
[2764.14 - 2768.86]  me in the future because I will bring back the American dream.
[2768.86 - 2770.02]  That's what we're going to do.
[2770.02 - 2775.38]  You don't even hear about the American dream anymore.
[2775.38 - 2781.82]  With great humility, I am asking you to be excited about the future of our country.
[2781.82 - 2782.82]  Be excited.
[2782.82 - 2800.22]  And by the way, the news reports, oh, look at all of those big networks.
[2800.22 - 2801.22]  Look at them.
[2801.22 - 2802.62]  They're all here.
[2802.62 - 2811.66]  But every one of them, as said, this could be the most organized, best run and most enthusiastic
[2811.66 - 2821.46]  convention of either party that they have ever seen, every single one.
[2821.46 - 2822.46]  And it's true.
[2822.46 - 2823.46]  It's true.
[2823.46 - 2825.66]  And there's love in the room.
[2825.66 - 2833.70]  There's great love in the room.
[2833.70 - 2836.02]  So I better finish strong.
[2836.02 - 2840.10]  Otherwise we'll blow it and we can't let that happen.
[2840.10 - 2841.10]  Now this was great.
[2841.10 - 2844.22]  All of the great people that spoke and everybody hit a home run.
[2844.22 - 2848.70]  I mean, there's not one that I can think of where I said, oh, gee, that wasn't great.
[2848.70 - 2850.90]  Every single person.
[2850.90 - 2852.50]  I refuse to be the only one.
[2852.50 - 2854.30]  Don't do that to me.
[2854.30 - 2855.30]  They're already getting ready.
[2855.30 - 2858.50]  See, I gave them an idea.
[2858.50 - 2860.42]  Now we had a, this was a great convention.
[2860.42 - 2863.18]  This was, I think we're actually going to go home and miss it.
[2863.18 - 2866.18]  You know, usually with a, first of all, look at these crowds.
[2866.18 - 2867.70]  You never have this at a convention.
[2867.70 - 2868.70]  Look at these crowds.
[2868.70 - 2879.42]  Love, it's about love.
[2879.42 - 2885.74]  This week the entire Republican Party has formally adopted an agenda for America's renewal
[2885.74 - 2887.62]  and you saw that agenda.
[2887.62 - 2896.06]  And it's very short compared to the long, boring, meaningless agendas of the past, including
[2896.06 - 2897.06]  the Democrats.
[2897.06 - 2901.06]  They write these things at hundreds of pages long and they never read them after they're
[2901.06 - 2902.62]  done.
[2902.62 - 2907.58]  In their case, fortunately, they don't read them because they're pretty bad.
[2907.58 - 2913.06]  It's a series of bold promises that we will swiftly implement when you give us a Republican
[2913.06 - 2914.86]  House.
[2914.86 - 2919.14]  And Mr. Speaker, thank you very much.
[2919.14 - 2922.58]  We have our great speaker of the House with us tonight.
[2922.58 - 2925.02]  Mr. Speaker, thank you very much.
[2925.02 - 2929.34]  Thank you.
[2929.34 - 2933.78]  A Republican Senate, we have many senators here.
[2933.78 - 2938.86]  And send me back to our beautiful White House just a few short months from now.
[2938.86 - 2941.58]  We're talking about just months.
[2941.58 - 2944.34]  It can't come fast enough.
[2944.34 - 2946.70]  We have to get it done.
[2946.70 - 2951.54]  First we must get economic relief to our citizens starting on day one.
[2951.54 - 2955.30]  We will drive down prices and make America affordable again.
[2955.30 - 2956.50]  We have to make it affordable.
[2956.50 - 2958.54]  It's not affordable.
[2958.54 - 2960.86]  People can't live like this.
[2960.86 - 2966.94]  Under this administration, our current administration, groceries are up.
[2966.94 - 2970.74]  57 percent gasoline is up 60 and 70 percent.
[2970.74 - 2973.90]  Mortgage rates have quite droopled.
[2973.90 - 2977.62]  And the fact is, it doesn't matter what they are because you can't get the money anywhere.
[2977.62 - 2978.62]  You can't buy houses.
[2978.62 - 2981.18]  Young people can't get any financing to buy a house.
[2981.18 - 2989.70]  The total household costs have increased an average of $28,000 per family under this administration.
[2989.70 - 2995.46]  Republicans have a plan to bring down prices and bring them down very, very rapidly.
[2995.46 - 3002.02]  By slashing energy costs, we will, in turn, reduce the cost of transportation, manufacturing,
[3002.02 - 3004.18]  and all household goods.
[3004.18 - 3007.54]  So much starts with energy.
[3007.54 - 3011.98]  And remember, we have more liquid gold under our feet than any other country by far.
[3011.98 - 3020.90]  We are a nation that has the opportunity to make an absolute fortune with its energy.
[3020.90 - 3023.66]  We have it and China does it.
[3023.66 - 3030.70]  Under the Trump administration, just three and a half years ago, we were energy independent.
[3030.70 - 3033.58]  But soon we will actually be better than that.
[3033.58 - 3040.34]  We will be energy dominant and supply not only ourselves, but we will supply the rest
[3040.34 - 3046.06]  of the world with numbers that nobody has ever seen.
[3046.06 - 3050.10]  And we will reduce our debt $36 trillion.
[3050.10 - 3051.66]  We will start reducing that.
[3051.66 - 3055.66]  And we will also reduce your taxes still further.
[3055.66 - 3056.66]  Next.
[3056.66 - 3060.42]  And by the way, they want to raise your taxes four times.
[3060.42 - 3061.42]  Think of it.
[3061.42 - 3065.62]  When all my life I grew up watching politicians, I always loved politics, I guess I was on the
[3065.62 - 3070.18]  other side, and they were always talking about, we will give you a tax cut.
[3070.18 - 3071.94]  We will give you a tax cut.
[3071.94 - 3076.14]  My whole life I was watching, I will give you a tax cut, right, Mr. Congressman?
[3076.14 - 3077.78]  That's all they talked about.
[3077.78 - 3081.98]  This is the only administration that said, we're going to raise your taxes by four times
[3081.98 - 3082.98]  what you're paying now.
[3082.98 - 3084.62]  And people are supposed to vote for them.
[3084.62 - 3086.74]  I've never heard it.
[3086.74 - 3088.22]  You're paying too much.
[3088.22 - 3091.70]  We're going to reduce your taxes still further.
[3091.70 - 3093.70]  We gave you the biggest one, as I said.
[3093.70 - 3097.78]  We're going to give you more, and it's going to lead to tremendous growth.
[3097.78 - 3099.62]  We want growth in our country.
[3099.62 - 3106.26]  That's what's going to pay off our debt.
[3106.26 - 3111.66]  And next we will end the ridiculous and actually incredible waste of taxpayer dollars that is
[3111.66 - 3113.62]  fueling the inflation crisis.
[3113.62 - 3118.90]  They spent trillions of dollars on things having to do with the green new scam.
[3118.90 - 3120.54]  It's a scam.
[3120.54 - 3126.82]  And that's caused tremendous inflationary pressures in addition to the cost of energy.
[3126.82 - 3132.42]  And all of the trillions of dollars that are sitting there not yet spent, we will redirect
[3132.42 - 3137.42]  that money for important projects like roads, bridges, dams, and we will not allow it to
[3137.42 - 3142.82]  be spent on meaningless green new scam ideas.
[3142.82 - 3160.82]  And I will end the electric vehicle mandate on day one.
[3160.82 - 3166.26]  Thereby saving the U.S. auto industry from complete obliteration, which is happening right
[3166.26 - 3175.94]  now and saving U.S. customers thousands and thousands of dollars per car.
[3175.94 - 3182.50]  And right now as we speak, large factories just started are being built across the border
[3182.50 - 3183.50]  in Mexico.
[3183.50 - 3188.06]  So with all the other things happening in our border, and they're being built by China
[3188.06 - 3193.90]  to make cars and to sell them into our country, no tax, no anything, the United Auto
[3193.98 - 3198.30]  Workers ought to be ashamed for allowing this to happen.
[3198.30 - 3203.10]  And the leader of the United Auto Workers should be fired immediately and every single
[3203.10 - 3209.10]  auto worker, union and non-union should be voting for Donald Trump because we're going
[3209.10 - 3218.82]  to bring back car manufacturing and we're going to bring it back fast.
[3218.82 - 3222.66]  They're building some of the largest auto plants anywhere in the world.
[3222.66 - 3229.38]  We're going to make them, we don't mind that happening, but those plants are going to
[3229.38 - 3239.50]  be built in the United States and our people are going to man those plants.
[3239.50 - 3244.70]  And if they don't agree with us, we'll put a tariff of approximately 100 to 200 percent
[3244.70 - 3246.22]  on each car.
[3246.22 - 3251.58]  And they will be unsalable in the United States.
[3251.58 - 3256.30]  We have long been taken advantage of by other countries.
[3256.30 - 3260.94]  And think of it, oftentimes these other countries are considered so-called allies.
[3260.94 - 3262.82]  They've taken advantage of us for years.
[3262.82 - 3267.94]  We lose jobs, we lose revenue, and they gain everything and wipe out our businesses,
[3267.94 - 3269.30]  wipe out our people.
[3269.30 - 3275.02]  I stopped it for four years, I stopped it, and we're really ready to make changes like
[3275.02 - 3276.54]  nobody had seen before.
[3276.54 - 3282.18]  And remember, a U.S. MCA, I got rid of NAFTA, the worst trade deal ever made, and replaced
[3282.18 - 3287.50]  it with U.S. MCA, which is they say the best trade deal ever made.
[3287.50 - 3292.06]  Actually, probably the best trade deal was the deal I made with China, where they buy
[3292.06 - 3294.50]  $50 billion worth of our product.
[3294.50 - 3295.90]  They were buying nothing.
[3295.90 - 3299.50]  They buy $50 billion worth they had to.
[3299.50 - 3301.50]  But I don't even talk about it because of COVID.
[3301.54 - 3306.30]  I don't even mention it, frankly, because of what happened with the China virus.
[3306.30 - 3320.42]  We will not let countries come in, take our jobs, and plunder our nation.
[3320.42 - 3323.82]  They come into the, they plunder our nation.
[3323.82 - 3329.94]  The way they will sell their product in America is to build it in America.
[3329.94 - 3350.58]  They're very simple, build it in America, and only in America.
[3350.58 - 3355.94]  And this very simple formula in Congress has to go along with us, and they will.
[3355.94 - 3359.74]  This very simple formula will create massive numbers of jobs.
[3359.74 - 3365.74]  We will take over the auto industry again, and many, many hundreds of thousands of jobs.
[3365.74 - 3367.94]  We lost so many jobs over the years.
[3367.94 - 3374.26]  If you go back 20, 25 years, they've stolen going to China and Mexico, about 68 percent
[3374.26 - 3376.90]  of our auto industry manufacturing jobs.
[3376.90 - 3378.02]  We're going to get them all back.
[3378.02 - 3383.06]  We're going to get them all back every one of them.
[3383.06 - 3390.66]  At the center of our plan for economic relief, our massive tax cuts for workers that include
[3390.66 - 3394.66]  something else that's stirred out to be very popular, actually.
[3394.66 - 3399.22]  Here it's very popular in this building, and all those hotels that I saw that are so nice
[3399.22 - 3401.34]  I'm staying in a nice one.
[3401.34 - 3404.26]  It's called No Tax On Tips.
[3404.26 - 3422.54]  No Tax On Tips.
[3422.54 - 3429.94]  I got that by having dinner recently in Nevada where we're leading by about 14 points.
[3429.94 - 3430.94]  Hello.
[3431.94 - 3435.54]  I'll see you there very soon, everybody.
[3435.54 - 3440.94]  We're having dinner at a beautiful restaurant in the Trump building on the strip, and it's
[3440.94 - 3443.34]  a great building, and the waitress comes over.
[3443.34 - 3444.34]  How's everything going?
[3444.34 - 3445.74]  Really nice person.
[3445.74 - 3448.30]  How's everything all so, so tough?
[3448.30 - 3452.06]  The government's after me all the time on tips, tips, tips.
[3452.06 - 3454.46]  I said, well, they give you cash, would they be able to find them?
[3454.46 - 3455.90]  She said, actually, and I didn't know that.
[3455.90 - 3457.46]  She said, very little cash is given.
[3457.46 - 3461.66]  So I'll put right on the check, and they come in and they take so much of our money.
[3461.66 - 3465.78]  It's just ridiculous, and they don't believe anything we say, and they've just tired,
[3465.78 - 3474.98]  as you know, 88,000 agents to go after them even more.
[3474.98 - 3480.18]  And I said, this shows the level of most people who are at the higher consultants, they pay
[3480.18 - 3482.14]  millions of dollars.
[3482.14 - 3484.94]  But I said to her, let me just ask you a question.
[3484.94 - 3486.86]  You'd be happy if you had no tax on tips.
[3486.86 - 3488.66]  She said, what a great idea.
[3488.66 - 3491.30]  I got my information from a very smart waitress.
[3491.30 - 3495.94]  That's better than spending millions of dollars.
[3495.94 - 3500.34]  And everybody loves it.
[3500.34 - 3507.70]  Waitresses and caddies and drivers and everybody's a large group of people that are being
[3507.70 - 3508.70]  really hurt badly.
[3508.70 - 3512.14]  They make money, let them keep their money.
[3512.14 - 3515.70]  I'm going to protect Social Security and Medicare.
[3515.70 - 3521.06]  Democrats are going to destroy Social Security and Medicare because all of these people by
[3521.06 - 3525.90]  the millions that are coming in, they're going to be on Social Security and Medicare and
[3525.90 - 3529.42]  other things, and you're not able to afford it.
[3529.42 - 3533.66]  They are destroying your Social Security and your Medicare.
[3533.66 - 3539.34]  Under my plan, incomes will skyrocket, inflation will vanish, completely jobs will come roaring
[3539.34 - 3545.10]  back, and the middle class will prosper like never, ever before, and we're going to do
[3545.10 - 3553.34]  it very rapidly.
[3553.34 - 3560.58]  But no hope or dream we have for America can succeed unless we stop the illegal immigrant
[3560.58 - 3564.10]  invasion, the worst that's ever been seen anywhere in the world.
[3564.10 - 3566.42]  There's never been an invasion like this anywhere.
[3566.42 - 3571.90]  Third world countries would fight with sticks and stones not to let this happen.
[3571.90 - 3575.94]  The invasion at our southern border, we will stop it and we will stop it quickly.
[3575.94 - 3583.86]  You heard Tom Homan yesterday, Tom Homan, put him in charge and just sit back and watch.
[3583.86 - 3588.02]  Brandon Judd, the Border Patrol is incredible.
[3588.02 - 3592.38]  These guys, you know, really their job is a lot easier if they don't have to do anything,
[3592.38 - 3593.38]  but they want to.
[3593.38 - 3594.38]  They're patriots.
[3594.38 - 3597.22]  Brandon Judd, Border Patrol, ice goes out.
[3597.22 - 3601.50]  You have to see what ice does with MS-13.
[3601.50 - 3604.34]  These are probably the worst gang and ice goes in there.
[3604.34 - 3608.42]  And I know a lot of people in these rows here and they're very tough people, but they don't
[3608.42 - 3610.30]  want to do this job.
[3610.30 - 3613.18]  They'll go into a pack of MS-13 killers.
[3613.18 - 3616.34]  They're the worst, probably the worst gangs in the world.
[3616.34 - 3617.42]  We have thousands of them.
[3617.42 - 3621.50]  I moved thousands and thousands out in my four years.
[3621.50 - 3623.18]  We moved them out and it was a pleasure.
[3623.18 - 3627.06]  But ice would go right into a pack of these killers and you see fist flying, you see
[3627.06 - 3629.90]  everything flying and then they take them.
[3629.90 - 3632.66]  They put them in a patty wagon.
[3632.66 - 3635.26]  They take them back and they get them out of our country.
[3635.26 - 3638.70]  And the other countries weren't accepting them back and I called up and I said, tell them
[3638.70 - 3641.82]  that we're not giving them economic aid anymore.
[3641.82 - 3646.74]  And the next day I got calls from all of these countries that were terminated.
[3646.74 - 3652.38]  Things of dollars we spend on economic aid to countries that does us frankly no good.
[3652.38 - 3655.46]  And the next day I was called by everybody, couldn't take all the calls.
[3655.46 - 3656.96]  Sir, what's the problem?
[3656.96 - 3662.94]  I said, you won't take your killers back that you sent in caravans into America.
[3662.94 - 3663.94]  You won't take them back.
[3663.94 - 3669.86]  Well, sir, if you'd like us to, we would give very serious consideration to doing that.
[3669.86 - 3674.78]  And within 24 hours, they were being taken back for years and years.
[3674.78 - 3680.66]  And when I first came in, they said President Obama tried to get them to go back and they
[3680.66 - 3681.66]  wouldn't accept them.
[3681.66 - 3684.22]  They put planes on the runway so you couldn't lead the plane.
[3684.22 - 3686.26]  They closed the road so you couldn't take the buses.
[3686.26 - 3688.30]  It all have to turn back.
[3688.30 - 3692.94]  As soon as I said no more economic aid of any kind to any country that does that, they
[3692.94 - 3697.30]  call back and they said, sir, it would be a great honor to take MS-13.
[3697.30 - 3702.90]  We love them very much.
[3702.90 - 3704.38]  We love them very much, sir.
[3704.38 - 3706.70]  We'll take them back.
[3706.70 - 3711.58]  At the heart of the Republican platform is our pledge to end this border nightmare and
[3711.58 - 3716.18]  fully restore the sacred and sovereign borders of the United States of America.
[3716.18 - 3724.30]  We're going to do that on day one.
[3724.30 - 3727.30]  That means two things on day one, right?
[3727.30 - 3738.30]  Little baby drill and close our borders.
[3738.30 - 3743.54]  And by the way, and I think everybody as a Republican, as a patriot in this room and most
[3743.54 - 3750.22]  Democrats, we want people to come into our country, but they have to come into our country
[3750.22 - 3752.22]  legally.
[3752.30 - 3764.62]  Less than four years ago, I handed this administration the strongest border in American history, but
[3764.62 - 3767.74]  you can see on the chart that saved my life.
[3767.74 - 3769.34]  That was the chart that saved my life.
[3769.34 - 3770.34]  I said, look it.
[3770.34 - 3771.34]  I'm so proud of it.
[3771.34 - 3775.78]  I think it's one of the greatest, it was done by the Border Patrol, one of the greatest
[3775.78 - 3776.78]  charts I've ever seen.
[3776.78 - 3778.82]  It showed everything just like that.
[3778.82 - 3779.82]  You know the chart.
[3779.82 - 3780.82]  Oh, there it is.
[3780.82 - 3781.82]  That's pretty good.
[3781.82 - 3791.34]  Last time I put up that chart, I never really got to look at it.
[3791.34 - 3800.78]  But without that chart, I would not be here today.
[3800.78 - 3810.26]  Never got to look at it.
[3810.26 - 3815.22]  I said, you got to see this chart.
[3815.22 - 3816.58]  I was so proud of it.
[3816.58 - 3821.98]  And by the time I got to there, I never got to see it that day.
[3821.98 - 3824.02]  But I'm seeing it now and I was very proud.
[3824.02 - 3828.66]  If you look at the arrow in the bottom, that's the lowest level, the one on the bottom,
[3828.66 - 3829.66]  heavy red arrow.
[3829.66 - 3834.94]  That's the lowest level of illegal immigrants ever to come into our country and record
[3834.94 - 3840.06]  it history right there.
[3840.06 - 3842.94]  And that was my last week in office.
[3842.94 - 3844.78]  And then you see what happened after I left.
[3844.78 - 3845.78]  Look at the rest.
[3845.78 - 3849.82]  And if you go out a little bit further, it's getting to be a little bit old.
[3849.82 - 3852.14]  But I love it anyway, right?
[3852.14 - 3854.18]  But you can go much higher with those numbers.
[3854.18 - 3856.38]  Look what happened right after that.
[3856.38 - 3857.70]  The invasion began.
[3857.70 - 3858.70]  We had the opposite.
[3858.70 - 3860.26]  We stopped the invasion.
[3860.26 - 3866.10]  But the invasion that we stopped was peanuts by comparison to what happened after I left.
[3866.10 - 3867.90]  Look at what happened after I left.
[3867.90 - 3870.22]  They took over our country.
[3870.22 - 3872.82]  We ended all catch and release.
[3872.82 - 3874.86]  We shut down asylum fraud.
[3874.86 - 3880.94]  We stopped human trafficking and forged historic agreements to keep illegal aliens on foreign
[3880.94 - 3881.94]  soil.
[3881.94 - 3883.62]  We want them to stay on this soil.
[3883.62 - 3888.30]  Under the Trump administration, if you came in illegally, you were apprehended immediately
[3888.30 - 3890.34]  and you were deported.
[3890.34 - 3892.58]  You went right back.
[3892.58 - 3898.30]  The current administration terminated every single one of those great Trump policies that
[3898.30 - 3900.86]  I put in place to seal the border.
[3900.86 - 3904.22]  I wanted to seal border again, come in, but come in legally.
[3904.22 - 3905.74]  You know how unfair it is?
[3905.74 - 3910.62]  So many people, hundreds of thousands of people have been working for years to come into
[3910.62 - 3912.26]  our country.
[3912.26 - 3916.14]  And now they see these people pour into our country at levels that are unprecedented.
[3916.14 - 3917.14]  It's so unfair.
[3917.14 - 3918.70]  Now, we're not going to do it.
[3918.70 - 3919.90]  We're not going to stand for it.
[3919.90 - 3923.90]  We suspended wall construction and did remain in Mexico.
[3923.90 - 3925.78]  We had a policy, remain in Mexico.
[3925.78 - 3929.50]  You think that was easy to get from the Mexican government, but I said you must give it to
[3929.50 - 3930.50]  us.
[3930.50 - 3934.14]  If you don't give it to us, there will be repercussions and they gave it to us, but
[3934.14 - 3935.14]  not easy.
[3935.14 - 3938.50]  Canceled our safe third agreements.
[3938.50 - 3942.90]  Demolish Title 42 implemented nationwide catch and release.
[3942.90 - 3947.30]  That's catch and release where we catch them and release them into our country.
[3947.30 - 3950.70]  I had we catch them and release them into Mexico.
[3950.70 - 3953.58]  It was a slight difference.
[3953.58 - 3955.10]  And took 93.
[3955.10 - 3959.30]  This is the previous administration.
[3959.30 - 3963.30]  93 executive actions to throw open our border to the world.
[3963.30 - 3969.30]  The entire world is pouring into our country because of this very foolish administration.
[3969.30 - 3973.50]  The greatest invasion in history is taking place right here in our country.
[3973.50 - 3978.06]  They are coming in from every corner of the earth, not just from South America, but from
[3978.06 - 3980.46]  Africa, Asia, the Middle East.
[3980.46 - 3982.10]  They're coming from everywhere.
[3982.10 - 3984.98]  They're coming at levels that we've never seen before.
[3984.98 - 3987.30]  It is an invasion indeed.
[3987.30 - 3992.82]  And this administration does absolutely nothing to stop them.
[3992.82 - 3994.42]  They're coming from prisons.
[3994.42 - 3995.74]  They're coming from jails.
[3995.74 - 4000.50]  They're coming from mental institutions and insane assailants.
[4000.50 - 4004.62]  I, you know, the press is always on me because I say this.
[4004.62 - 4009.50]  Has anyone seen silence of the lambs?
[4009.50 - 4014.14]  The late great Hannibal Lecter.
[4014.14 - 4017.14]  He'd love to have you for dinner.
[4017.14 - 4021.42]  That's insane assailants.
[4021.42 - 4024.42]  They're emptying out there and insane assailants.
[4024.42 - 4027.70]  And terrorists are coming in at numbers that we've never seen before.
[4027.70 - 4029.94]  Bad things are going to happen.
[4029.94 - 4035.74]  Meanwhile, our crime rate is going up while crime statistics all over the world are going
[4035.74 - 4041.62]  down because they're taking their criminals and they're putting them into our country.
[4041.62 - 4046.58]  A certain country, and I happen to like the president of that country very much, but
[4046.58 - 4052.14]  he's been getting great publicity because he's a wonderful shepherd of the country.
[4052.14 - 4056.18]  He says how well the country is doing because their crime rate is down.
[4056.18 - 4058.58]  And he said he's training all of these rough people.
[4058.58 - 4060.38]  They're rough, rough, rough.
[4060.38 - 4061.38]  He's training them.
[4061.38 - 4062.74]  And I've been reading about this for two years.
[4062.74 - 4063.74]  I think, oh, that's wonderful.
[4063.74 - 4065.98]  Let's take a look at it.
[4065.98 - 4067.82]  But then I realize he's not training them.
[4067.82 - 4073.66]  He's sending all of his criminals, his drug dealers, his people that ring jails.
[4073.66 - 4076.42]  He's sending them all to the United States.
[4076.42 - 4079.06]  And he's different in that he doesn't say that.
[4079.06 - 4082.74]  He's trying to convince everybody what a wonderful job he does in running the country.
[4082.74 - 4084.58]  Well, he doesn't do a wonderful job.
[4084.58 - 4088.06]  And by the way, if I ran one of the countries, many countries, many, many countries from
[4088.06 - 4090.70]  all over, I would be worse than any of them.
[4090.70 - 4099.90]  I would have had the place totally emptied out already.
[4099.90 - 4104.22]  But we become a dumping ground for the rest of the world, which is laughing at us.
[4104.22 - 4106.34]  They think we're stupid.
[4106.34 - 4110.38]  And they can't believe that they're getting away with what they're getting away with,
[4110.38 - 4112.94]  but they're not going to be getting away with it for long.
[4112.94 - 4120.42]  That's what I can tell you.
[4120.42 - 4131.42]  In Venezuela, Caracas, high crime, high crime, Caracas, Venezuela, really a dangerous place.
[4131.42 - 4133.58]  But not anymore.
[4133.58 - 4136.74]  Because in Venezuela, crime is down 72 percent.
[4136.74 - 4141.98]  In fact, if they would ever win this election, I hate to even say that.
[4141.98 - 4147.90]  We will have our next Republican convention in Venezuela because it will be safe.
[4147.90 - 4150.66]  Our cities will be so unsafe.
[4150.66 - 4157.46]  We won't be able to have it there and El Salvador, murders are down by 70 percent.
[4157.46 - 4159.46]  Why are they down?
[4159.46 - 4165.18]  Now he would have you convinced that because he's trained murders to be wonderful people,
[4166.18 - 4172.30]  they're down because they're sending their murderers to the United States of America.
[4172.30 - 4177.14]  This is going to be very bad.
[4177.14 - 4180.14]  And bad things are going to happen and you're seeing it happen all the time.
[4180.14 - 4185.22]  That's why to keep our families safe, the Republican platform promises to launch
[4185.22 - 4192.22]  the largest deportation operation in the history of our country.
[4192.22 - 4198.66]  Even larger than that of President Dwight D. Eisenhower from many years ago.
[4198.66 - 4201.50]  You know, he was a moderate, but he believed very strongly in borders.
[4201.50 - 4205.50]  He had the largest deportation operation we've ever had.
[4205.50 - 4213.66]  Just recently I spoke to the grieving mother of Jocelyn Nungari, a wonderful woman.
[4213.66 - 4220.34]  A precious 12-year-old girl from Houston who last month was tied up assaulted and strangled
[4220.34 - 4226.26]  to death after walking to the convenience store, just a block away from her house.
[4226.26 - 4232.62]  Her body was dumped near the side of the road in a shallow creek found by some onlookers
[4232.62 - 4235.42]  who couldn't believe what they had witnessed.
[4235.42 - 4241.70]  Charged with Jocelyn's heinous murder or two illegal aliens from Venezuela, who came
